Depth_m,Density_g_cm3,Vp_m_s,Vs_m_s,Bulk_Modulus_GPa,Shear_Modulus_GPa,Youngs_Modulus_GPa,Poissons_Ratio,Gamma_Ray_gAPI,Neutron_Porosity_pu
2565.1206,-2.3335,4.587770460959549,2.480636306000487,-2.9968897409012717e-05,-1.4359324052258501e-05,-3.714535303707741e-05,0.2934227579896078,80.4623,22.4792
2565.1968,-2.3002,4.587770460959549,2.480636306000487,-2.9541228978020586e-05,-1.415441062138633e-05,-3.661527364726181e-05,0.2934227579896078,80.2164,22.8192
2565.273,-2.2785,4.649495465674124,2.4409112094522847,-3.11556273188895e-05,-1.3575411302641334e-05,-3.556121586437082e-05,0.30976568855235215,78.1385,23.1753
2565.3492,-2.2713,4.649495465674124,2.4409112094522847,-3.1057176356986493e-05,-1.353251336040784e-05,-3.544884335867696e-05,0.30976568855235215,73.6326,23.4933
2565.4254,-2.2817,4.655055500235197,2.4343842397580953,-3.141423159454983e-05,-1.3521871294329855e-05,-3.547560118341307e-05,0.3117859359558134,66.4121,23.7436
2565.5016,-2.313,4.655055500235197,2.4343842397580953,-3.1845167058856885e-05,-1.3707362187748152e-05,-3.596224987388107e-05,0.31178593595581344,57.3192,23.9079
2565.5778,-2.3684,4.626067159931702,2.4383590355682028,-3.1909542377560435e-05,-1.4081546691960776e-05,-3.682738363238035e-05,0.30764696655820073,47.4954,23.9751
2565.654,-2.4512,4.626067159931702,2.4383590355682028,-3.302510989523566e-05,-1.4573841940269487e-05,-3.811488040858415e-05,0.30764696655820084,38.7096,23.9834
2565.7302,-2.5658,4.670949391918399,2.488563466941214,-3.479354129115703e-05,-1.5889866309374026e-05,-4.137159887143501e-05,0.3018233780553699,32.3862,23.9587
2565.8064,-2.7178,4.670949391918399,2.488563466941214,-3.685473790673731e-05,-1.6831194424981186e-05,-4.3822484766071436e-05,0.30182337805536996,29.5816,23.9101
2565.8826,-2.916,4.670949391918399,2.488563466941214,-3.954242980942158e-05,-1.805863674414789e-05,-4.701831097868287e-05,0.3018233780553699,30.1483,23.8668
2565.9588,-3.1755,4.851448271910305,2.4852256271770186,-4.85896648551444e-05,-1.9612988050287252e-05,-5.186113087948557e-05,0.32211192773163433,33.242,23.8747
2566.035,-3.5268,4.978488617097384,2.5114241785550084,-5.7753749532656645e-05,-2.2244414253851548e-05,-5.914040951653526e-05,0.32933168843264304,37.4401,23.9747
2566.1112,-4.0567,4.978488617097384,2.5114241785550084,-6.643122256128168e-05,-2.5586626773165356e-05,-6.802622753933553e-05,0.329331688432643,41.4807,24.1829
2566.1874,-5.5061,5.070189183929097,2.5268247147995826,-9.467019949734714e-05,-3.5155584809420824e-05,-9.384977987436664e-05,0.33477768017696613,44.808,24.4842
2566.2636,0.0523,5.070189183929097,2.5268247147995826,8.992302053561058e-07,3.3392729618654017e-07,8.914374035032736e-07,0.3347776801769662,47.1547,24.8298
2566.3398,0.0523,5.059021922428331,2.506224448515506,9.005443642666695e-07,3.285047195854174e-07,8.786721362428216e-07,0.33738129752250073,48.4553,25.1688
2566.416,0.0523,5.059021922428331,2.506224448515506,9.005443642666695e-07,3.285047195854174e-07,8.786721362428216e-07,0.33738129752250073,48.9169,25.4559
2566.4922,0.0523,5.021350624703464,2.5019310343695387,8.821833369534071e-07,3.273801605087768e-07,8.740231788472815e-07,0.33487499286605327,48.84,25.6588
2566.5684,0.0523,5.021350624703464,2.5019310343695387,8.821833369534071e-07,3.273801605087768e-07,8.740231788472815e-07,0.33487499286605327,48.4723,25.7953
2566.6446,0.0523,4.975156861080824,2.456838078410858,8.73625197118279e-07,3.1568558986659584e-07,8.452464695590074e-07,0.3387473117100409,48.0362,25.9269
2566.7208,0.0523,4.975156861080824,2.456838078410858,8.73625197118279e-07,3.1568558986659584e-07,8.452464695590074e-07,0.3387473117100409,47.7236,26.1037
2566.797,0.0523,4.956411870021026,2.4457843119947746,8.676676739533195e-07,3.128513251118271e-07,8.378535219065846e-07,0.3390602095214047,47.574,26.4079
